{'Time': '2023-07-24T14:05:50Z', 'SELL': 258.15, 'BUY': 258.18}
{'Time': '2023-07-24T14:06:00Z', 'BUY': 258.05, 'SELL': 257.96}
{'Time': '2023-07-24T14:06:10Z', 'BUY': 258.26, 'SELL': 258.23}
{'Time': '2023-07-24T14:06:20Z', 'BUY': 258.32, 'SELL': 258.26}
{'Time': '2023-07-24T14:06:30Z', 'SELL': 258.36, 'BUY': 258.41}
{'Time': '2023-07-24T14:06:40Z', 'BUY': 258.2, 'SELL': 258.16}
{'Time': '2023-07-24T14:06:50Z', 'SELL': 258.19, 'BUY': 258.24}
{'Time': '2023-07-24T14:07:00Z', 'SELL': 258.19, 'BUY': 258.22}
{'Time': '2023-07-24T14:07:10Z', 'BUY': 258.22, 'SELL': 258.18}
{'Time': '2023-07-24T14:07:20Z', 'BUY': 258.35, 'SELL': 258.27}
{'Time': '2023-07-24T14:07:30Z', 'SELL': 258.41, 'BUY': 258.46}
{'Time': '2023-07-24T14:07:40Z', 'SELL': 258.81, 'BUY': 258.84}
{'Time': '2023-07-24T14:07:50Z', 'BUY': 258.62, 'SELL': 258.68}
{'Time': '2023-07-24T14:08:00Z', 'BUY': 258.38, 'SELL': 258.36}
{'Time': '2023-07-24T14:08:10Z', 'BUY': 258.25, 'SELL': 258.21}
{'Time': '2023-07-24T14:08:20Z', 'BUY': 258.35, 'SELL': 258.29}
{'Time': '2023-07-24T14:08:30Z', 'SELL': 258.09, 'BUY': 258.14}
{'Time': '2023-07-24T14:08:40Z', 'SELL': 257.83, 'BUY': 257.86}
{'Time': '2023-07-24T14:08:50Z', 'BUY': 258.1, 'SELL': 258.06}
{'Time': '2023-07-24T14:09:00Z', 'SELL': 258.01, 'BUY': 258.03}
{'Time': '2023-07-24T14:09:10Z', 'BUY': 258.15, 'SELL': 258.11}
{'Time': '2023-07-24T14:09:20Z', 'SELL': 258.26, 'BUY': 258.35}
{'Time': '2023-07-24T14:09:30Z', 'BUY': 258.21, 'SELL': 258.23}
{'Time': '2023-07-24T14:09:40Z', 'SELL': 257.97, 'BUY': 258.01}
{'Time': '2023-07-24T14:09:50Z', 'BUY': 257.94, 'SELL': 257.88}
{'Time': '2023-07-24T14:10:00Z', 'SELL': 258.2, 'BUY': 258.25}
{'Time': '2023-07-24T14:10:10Z', 'SELL': 258.22, 'BUY': 258.3}
{'Time': '2023-07-24T14:10:20Z', 'BUY': 258.05, 'SELL': 258.02}
{'Time': '2023-07-24T14:10:30Z', 'SELL': 258.07, 'BUY': 258.11}
{'Time': '2023-07-24T14:10:40Z', 'SELL': 258.05, 'BUY': 258.1}
{'Time': '2023-07-24T14:10:50Z', 'SELL': 258.09, 'BUY': 258.12}
{'Time': '2023-07-24T14:11:00Z', 'SELL': 258.22, 'BUY': 258.27}
{'Time': '2023-07-24T14:11:10Z', 'SELL': 258.08, 'BUY': 258.1}
{'Time': '2023-07-24T14:11:20Z', 'BUY': 258.38, 'SELL': 258.34}
{'Time': '2023-07-24T14:11:30Z', 'SELL': 258.79, 'BUY': 258.83}
{'Time': '2023-07-24T14:11:40Z', 'BUY': 259.82, 'SELL': 259.77}
{'Time': '2023-07-24T14:11:50Z', 'SELL': 259.84, 'BUY': 259.9}
{'Time': '2023-07-24T14:12:00Z', 'BUY': 259.85, 'SELL': 259.79}
{'Time': '2023-07-24T14:12:10Z', 'SELL': 259.75, 'BUY': 259.81}
{'Time': '2023-07-24T14:12:20Z', 'SELL': 259.82, 'BUY': 259.86}
{'Time': '2023-07-24T14:12:30Z', 'BUY': 260.19, 'SELL': 260.14}
{'Time': '2023-07-24T14:12:40Z', 'BUY': 260.24, 'SELL': 260.23}
{'Time': '2023-07-24T14:12:50Z', 'BUY': 260.3, 'SELL': 260.26}
{'Time': '2023-07-24T14:13:00Z', 'BUY': 260.42, 'SELL': 260.39}
{'Time': '2023-07-24T14:13:10Z', 'SELL': 260.33, 'BUY': 260.37}
{'Time': '2023-07-24T14:13:20Z', 'SELL': 260.42, 'BUY': 260.45}
{'Time': '2023-07-24T14:13:30Z', 'SELL': 260.4, 'BUY': 260.43}
{'Time': '2023-07-24T14:13:40Z', 'BUY': 260.29, 'SELL': 260.24}
{'Time': '2023-07-24T14:13:50Z', 'SELL': 260.27, 'BUY': 260.31}
