date,_id,curtime,gettime,symbol,tradetime,last,ask,asksize,bid,bidsize,volume,vwap,open,high,low,previousclose,previousvolume,netchange,netchangepct,lvl2,close,macd,macds,macdh,macd_cross,macd_sign,start,end,max,min,r,len,accum,peak,h_s
2023-06-05T14:09:40Z,647deca45869ec113f5f2485,2023-06-05T14:09:40Z,2023-06-05T14:09:40Z,AAPL,2023-06-05T14:09:39Z,183.585,183.6,1100.0,183.58,400.0,17411879.0,183.199894453815,182.63,183.95,181.97,180.95,61996913.0,2.635,0.0146,-502.6315099963609,183.585,-0.03216668915811738,0.018657330292847614,-0.05082401945096499,0,-1,2023-06-05T14:09:10Z,2023-06-05T14:09:40Z,-0.027414602497999513,-0.05158657405266309,0.9852179638655664,4,-0.1676192288812797,2023-06-05T14:09:30Z,-0.05082401945096499
2023-06-05T14:09:50Z,647decae5869ec113f5f2552,2023-06-05T14:09:50Z,2023-06-05T14:09:50Z,AAPL,2023-06-05T14:09:49Z,183.5701,183.59,700.0,183.57,300.0,17436691.0,183.200459520927,182.63,183.95,181.97,180.95,61996913.0,2.6201,0.0145,-196.1772648807878,183.5701,-0.04029465098497553,0.006866934037282981,-0.04716158502225851,0,-1,2023-06-05T14:09:10Z,2023-06-05T14:09:50Z,-0.027414602497999513,-0.05158657405266309,0.9142220798402458,5,-0.2147808139035382,2023-06-05T14:09:30Z,-0.04716158502225851
2023-06-05T14:10:00Z,647decb85869ec113f5f261f,2023-06-05T14:10:00Z,2023-06-05T14:10:00Z,AAPL,2023-06-05T14:09:59Z,183.5672,183.57,400.0,183.55,100.0,17463107.0,183.201027772926,182.63,183.95,181.97,180.95,61996913.0,2.6172,0.0145,267.06443950786723,183.5672,-0.04404056022650593,-0.0033145648154748047,-0.04072599541103113,0,-1,2023-06-05T14:09:10Z,2023-06-05T14:10:00Z,-0.027414602497999513,-0.05158657405266309,0.7894688910617568,6,-0.2555068093145693,2023-06-05T14:09:30Z,-0.04072599541103113
2023-06-05T14:10:10Z,647decc25869ec113f5f26eb,2023-06-05T14:10:10Z,2023-06-05T14:10:10Z,AAPL,2023-06-05T14:10:09Z,183.54,183.54,300.0,183.53,100.0,17490653.0,183.201589992088,182.63,183.95,181.97,180.95,61996913.0,2.59,0.0143,-703.546504844202,183.54,-0.04842211444676536,-0.012336074741732919,-0.03608603970503244,0,-1,2023-06-05T14:09:10Z,2023-06-05T14:10:10Z,-0.027414602497999513,-0.05158657405266309,0.6995238658065053,7,-0.29159284901960175,2023-06-05T14:09:30Z,-0.03608603970503244
2023-06-05T14:10:20Z,647deccc5869ec113f5f27bd,2023-06-05T14:10:20Z,2023-06-05T14:10:20Z,AAPL,2023-06-05T14:10:19Z,183.61,183.62,400.0,183.61,100.0,17521470.0,183.202296110937,182.63,183.95,181.97,180.95,61996913.0,2.66,0.0147,448.50473452832654,183.61,-0.03912828582869565,-0.017694516959125467,-0.021433768869570186,0,-1,2023-06-05T14:09:10Z,2023-06-05T14:10:20Z,-0.021433768869570186,-0.05158657405266309,0.4154912254434484,8,-0.31302661788917197,2023-06-05T14:09:30Z,-0.021433768869570186
2023-06-05T14:10:30Z,647decd65869ec113f5f287b,2023-06-05T14:10:30Z,2023-06-05T14:10:29Z,AAPL,2023-06-05T14:10:28Z,183.71,183.72,300.0,183.7,300.0,17548241.0,183.203024766458,182.63,183.95,181.97,180.95,61996913.0,2.76,0.0153,-59.98386248946396,183.71,-0.017555399498064617,-0.017666693466913297,0.00011129396884868026,1,1,2023-06-05T14:10:30Z,2023-06-05T14:10:30Z,0.00011129396884868026,0.00011129396884868026,1.0,1,0.00011129396884868026,2023-06-05T14:10:30Z,0.00011129396884868026
2023-06-05T14:10:40Z,647dece05869ec113f5f2941,2023-06-05T14:10:40Z,2023-06-05T14:10:40Z,AAPL,2023-06-05T14:10:39Z,183.8,183.81,200.0,183.8,400.0,17595779.0,183.204711376566,182.63,183.95,181.97,180.95,61996913.0,2.85,0.0158,-783.1908915810975,183.8,0.009226179867539486,-0.01228811880002274,0.021514298667562225,0,1,2023-06-05T14:10:30Z,2023-06-05T14:10:40Z,0.021514298667562225,0.00011129396884868026,1.0,2,0.021625592636410906,2023-06-05T14:10:40Z,0.021514298667562225
2023-06-05T14:10:50Z,647decea5869ec113f5f2a0d,2023-06-05T14:10:50Z,2023-06-05T14:10:50Z,AAPL,2023-06-05T14:10:49Z,183.66,183.67,200.0,183.65,400.0,17637383.0,183.206181144497,182.63,183.95,181.97,180.95,61996913.0,2.71,0.015,1099.3208371110754,183.66,0.005246486423317265,-0.00878119775535474,0.014027684178672005,0,1,2023-06-05T14:10:30Z,2023-06-05T14:10:50Z,0.021514298667562225,0.00011129396884868026,0.6520168003348387,3,0.03565327681508291,2023-06-05T14:10:40Z,0.014027684178672005
2023-06-05T14:11:00Z,647decf45869ec113f5f2ad7,2023-06-05T14:11:00Z,2023-06-05T14:11:00Z,AAPL,2023-06-05T14:10:59Z,183.59,183.6,800.0,183.57,400.0,17679957.0,183.20722640369,182.63,183.95,181.97,180.95,61996913.0,2.64,0.0146,-2427.8538317703437,183.59,-0.007404202886363009,-0.008505798781556394,0.001101595895193385,0,1,2023-06-05T14:10:30Z,2023-06-05T14:11:00Z,0.021514298667562225,0.00011129396884868026,0.051202965628356516,4,0.03675487271027629,2023-06-05T14:10:40Z,0.001101595895193385
2023-06-05T14:11:10Z,647decfe5869ec113f5f2ba1,2023-06-05T14:11:10Z,2023-06-05T14:11:10Z,AAPL,2023-06-05T14:11:09Z,183.5887,183.59,200.0,183.58,100.0,17704748.0,183.207761275098,182.63,183.95,181.97,180.95,61996913.0,2.6387,0.0146,525.8154848199754,183.5887,-0.01503302479488866,-0.009811243984222848,-0.005221780810665813,-1,-1,2023-06-05T14:11:10Z,2023-06-05T14:11:10Z,-0.005221780810665813,-0.005221780810665813,1.0,1,-0.005221780810665813,2023-06-05T14:11:10Z,-0.005221780810665813
