Symbol,Last,Ask,AskSize,Bid,BidSize,Volume,TradeTime
AAPL,177.544,177.55,300,177.54,,17707869,2023-05-30T14:33:57Z
AAPL,177.55,,100,,100,17708441,
AAPL,,,300,,,17708758,2023-05-30T14:33:58Z
AAPL,,177.56,,,400,17711120,2023-05-30T14:34:00Z
AAPL,177.565,,100,177.55,100,17712786,
AAPL,177.5604,177.57,400,177.56,200,17712998,2023-05-30T14:34:01Z
AAPL,177.5687,177.56,300,177.54,600,17714172,2023-05-30T14:34:02Z
AAPL,,177.55,100,,400,17714331,
AAPL,,,400,,,17714604,
AAPL,177.54,,200,177.53,300,17716719,2023-05-30T14:34:05Z
AAPL,177.55,177.56,500,177.54,400,17717819,2023-05-30T14:34:06Z
AAPL,177.53,177.55,400,177.53,,17718686,2023-05-30T14:34:08Z
AAPL,,177.54,,177.52,,17720249,
AAPL,177.5591,177.56,200,177.55,500,17722671,2023-05-30T14:34:10Z
AAPL,177.56,177.57,,,400,17723630,
AAPL,,177.56,100,,200,17725995,2023-05-30T14:34:11Z
AAPL,177.54,177.54,,177.53,300,17726294,2023-05-30T14:34:13Z
AAPL,177.535,,300,,200,17728916,
AAPL,177.545,177.55,400,177.54,300,17730202,2023-05-30T14:34:14Z
AAPL,177.5497,,,,500,17731349,2023-05-30T14:34:16Z
AAPL,177.54,177.54,,177.53,400,17736090,2023-05-30T14:34:17Z
AAPL,177.525,177.53,500,177.52,200,17738471,
AAPL,177.54,177.55,700,177.53,300,17740176,2023-05-30T14:34:19Z
AAPL,177.53,177.54,800,177.52,200,17740448,
AAPL,177.555,177.55,600,177.53,300,17742873,2023-05-30T14:34:20Z
AAPL,177.56,177.57,500,177.55,400,17744018,2023-05-30T14:34:22Z
AAPL,177.545,177.55,600,177.53,300,17744677,
AAPL,177.52,177.52,100,177.51,100,17748423,2023-05-30T14:34:24Z
AAPL,177.515,,200,,,17749890,2023-05-30T14:34:25Z
AAPL,177.505,177.51,300,177.5,500,17752188,2023-05-30T14:34:26Z
AAPL,177.5083,,,,700,17752884,
AAPL,177.53,177.54,400,177.52,200,17755850,2023-05-30T14:34:28Z
AAPL,,177.53,,177.51,700,17756483,
AAPL,177.515,177.52,300,,600,17757865,2023-05-30T14:34:29Z
AAPL,177.52,,200,,200,17760374,2023-05-30T14:34:30Z
AAPL,,,,,300,17762764,2023-05-30T14:34:32Z
AAPL,177.53,177.54,400,177.52,,17763692,
AAPL,,177.53,300,,,17764988,2023-05-30T14:34:34Z
AAPL,177.52,,,177.51,500,17765171,
AAPL,177.5286,177.54,400,177.52,400,17766139,2023-05-30T14:34:35Z
AAPL,177.52,177.53,300,177.51,700,17766642,2023-05-30T14:34:36Z
AAPL,177.5349,177.54,400,177.53,200,17767214,2023-05-30T14:34:37Z
AAPL,177.5284,177.53,200,177.52,100,17767870,2023-05-30T14:34:38Z
AAPL,177.53,,100,,,17768386,2023-05-30T14:34:39Z
AAPL,177.52,177.52,200,177.51,300,17768641,2023-05-30T14:34:40Z
AAPL,,177.54,500,177.52,400,17770422,2023-05-30T14:34:42Z
AAPL,177.5334,177.55,700,177.53,200,17771940,2023-05-30T14:34:43Z
AAPL,177.53,177.54,500,177.52,300,17772979,2023-05-30T14:34:44Z
AAPL,177.54,,200,177.53,100,17773579,
AAPL,177.53,,,,200,17773887,
AAPL,177.54,177.56,300,177.55,2600,17776361,2023-05-30T14:34:46Z
AAPL,177.57,177.57,100,177.56,200,17778859,2023-05-30T14:34:47Z
AAPL,177.54,177.54,300,177.53,,17783576,2023-05-30T14:34:48Z
AAPL,177.55,177.56,600,177.54,500,17784962,2023-05-30T14:34:50Z
AAPL,177.56,,500,177.55,100,17785617,
AAPL,177.57,177.57,100,177.56,,17787202,2023-05-30T14:34:51Z
AAPL,177.575,,300,,200,17789720,2023-05-30T14:34:52Z
AAPL,177.56,177.56,200,177.55,300,17790054,2023-05-30T14:34:54Z
AAPL,,,100,,600,17790087,
AAPL,177.5507,,200,,500,17790439,2023-05-30T14:34:55Z
AAPL,177.56,177.57,,177.56,100,17790795,2023-05-30T14:34:56Z
AAPL,177.565,,300,177.55,800,17791405,2023-05-30T14:34:57Z
AAPL,177.555,,100,177.56,100,17793455,2023-05-30T14:34:59Z
AAPL,177.58,177.58,,177.58,,17794451,2023-05-30T14:35:00Z
AAPL,177.605,177.61,1000,177.6,300,17796173,2023-05-30T14:35:01Z
AAPL,177.5787,177.58,200,177.57,400,17797155,
AAPL,177.56,177.56,100,177.55,500,17800517,2023-05-30T14:35:03Z
AAPL,177.54,177.54,400,177.52,400,17803582,
AAPL,177.53,177.53,300,,200,17805805,2023-05-30T14:35:05Z
AAPL,,177.54,500,,500,17809351,2023-05-30T14:35:06Z
AAPL,177.5299,177.53,100,,200,17809530,
AAPL,177.52,177.52,,177.51,500,17810062,2023-05-30T14:35:07Z
AAPL,177.48,177.48,200,177.47,1000,17813904,2023-05-30T14:35:09Z
AAPL,177.49,177.49,700,,500,17816694,
AAPL,,,500,177.48,200,17818068,2023-05-30T14:35:10Z
AAPL,177.465,177.47,300,177.46,700,17819389,2023-05-30T14:35:11Z
AAPL,177.47,,,,,17820506,2023-05-30T14:35:12Z
AAPL,,177.48,,,,17821118,2023-05-30T14:35:13Z
AAPL,177.474,,,,900,17821301,2023-05-30T14:35:14Z
AAPL,177.45,177.46,500,177.45,2400,17823546,2023-05-30T14:35:16Z
AAPL,177.455,,300,,2500,17824647,2023-05-30T14:35:17Z
AAPL,177.4599,,,,2400,17824964,
AAPL,177.47,177.47,,177.46,300,17831435,2023-05-30T14:35:19Z
AAPL,,,200,,200,17831510,
AAPL,177.46,177.46,400,177.45,,17836047,2023-05-30T14:35:20Z
AAPL,177.45,177.45,600,177.43,100,17836537,2023-05-30T14:35:21Z
AAPL,177.44,177.44,300,,300,17836946,2023-05-30T14:35:22Z
AAPL,177.46,177.46,400,177.44,600,17840188,2023-05-30T14:35:24Z
AAPL,177.44,177.44,300,177.43,100,17840646,
AAPL,,,200,,1000,17841061,2023-05-30T14:35:25Z
AAPL,177.4388,,400,,900,17841746,2023-05-30T14:35:26Z
AAPL,177.44,177.45,500,,300,17843465,2023-05-30T14:35:27Z
AAPL,,177.44,,,100,17843858,2023-05-30T14:35:28Z
AAPL,177.435,,300,,,17844974,2023-05-30T14:35:30Z
AAPL,177.43,177.43,500,177.42,1000,17846524,
AAPL,177.425,,,,,17847908,2023-05-30T14:35:32Z
AAPL,177.392,177.4,300,177.39,300,17873101,
AAPL,177.4089,177.41,400,177.4,500,17874451,2023-05-30T14:35:33Z
AAPL,177.41,,600,,200,17875744,2023-05-30T14:35:34Z
AAPL,,,200,,,17878746,2023-05-30T14:35:36Z
AAPL,177.39,177.4,500,177.38,,17883220,
AAPL,,,200,177.39,400,17883598,2023-05-30T14:35:37Z
AAPL,,,100,177.38,500,17883807,
AAPL,,177.41,400,177.39,200,17884759,2023-05-30T14:35:39Z
AAPL,,177.4,,,100,17885405,2023-05-30T14:35:40Z
AAPL,177.4,177.41,300,,200,17886604,2023-05-30T14:35:41Z
AAPL,177.39,,,,300,17887313,2023-05-30T14:35:42Z
AAPL,177.44,177.42,,177.4,,17889138,2023-05-30T14:35:43Z
AAPL,177.415,,100,177.41,200,17891247,2023-05-30T14:35:45Z
AAPL,177.43,177.44,500,177.42,,17893346,2023-05-30T14:35:46Z
AAPL,,177.43,600,177.41,,17893806,2023-05-30T14:35:47Z
AAPL,177.44,177.44,300,177.42,500,17895481,
AAPL,177.435,,,177.43,600,17899113,2023-05-30T14:35:48Z
AAPL,,,400,,,17899985,2023-05-30T14:35:49Z
AAPL,,,300,,,17900299,2023-05-30T14:35:50Z
AAPL,177.445,177.45,400,177.44,200,17901934,2023-05-30T14:35:51Z
AAPL,177.435,177.44,,177.43,600,17904449,2023-05-30T14:35:53Z
AAPL,177.45,177.46,300,177.45,300,17906317,
AAPL,177.44,177.45,,177.44,100,17906698,2023-05-30T14:35:55Z
AAPL,177.435,177.44,400,177.43,,17907726,
AAPL,177.4285,177.43,,177.42,,17909030,2023-05-30T14:35:56Z
AAPL,177.445,177.45,300,177.44,,17912548,2023-05-30T14:35:58Z
AAPL,177.444,,,,,17913416,2023-05-30T14:35:59Z
AAPL,177.4171,177.42,100,177.41,,17915602,2023-05-30T14:36:00Z
AAPL,177.43,,200,,,17916947,2023-05-30T14:36:01Z
AAPL,177.4199,,,177.4,400,17918404,2023-05-30T14:36:03Z
AAPL,,,300,177.41,100,17918659,
AAPL,177.41,177.41,200,177.4,400,17919271,2023-05-30T14:36:04Z
AAPL,177.38,177.39,100,177.38,300,17921263,2023-05-30T14:36:05Z
AAPL,,,1100,177.37,400,17923038,2023-05-30T14:36:07Z
AAPL,177.36,177.37,400,177.36,800,17924663,
AAPL,,,700,,600,17926714,2023-05-30T14:36:09Z
AAPL,177.34,177.34,200,177.33,400,17943767,2023-05-30T14:36:10Z
AAPL,177.35,,400,,100,17945264,
AAPL,177.33,177.33,300,177.32,200,17946768,2023-05-30T14:36:11Z
AAPL,177.325,,1200,,,17948803,2023-05-30T14:36:12Z
AAPL,177.335,177.35,200,177.34,,17955597,2023-05-30T14:36:14Z
AAPL,177.34,,700,177.33,400,17956480,2023-05-30T14:36:15Z
AAPL,177.33,177.34,500,177.32,,17956884,
AAPL,,,800,,300,17960577,2023-05-30T14:36:16Z
AAPL,,177.33,200,,,17960968,2023-05-30T14:36:18Z
AAPL,177.325,,400,,,17961094,
AAPL,,,300,,,17962378,2023-05-30T14:36:20Z
AAPL,177.315,177.32,200,177.31,,17964142,
AAPL,177.3,177.3,100,177.29,,17967214,2023-05-30T14:36:21Z
AAPL,,177.31,,177.3,,17967885,2023-05-30T14:36:22Z
AAPL,,,1100,177.29,400,17968684,2023-05-30T14:36:23Z
AAPL,,,800,177.3,300,17969379,2023-05-30T14:36:24Z
AAPL,,,,,200,17969489,
AAPL,177.33,177.33,600,177.31,500,17974929,2023-05-30T14:36:26Z
AAPL,,177.34,1000,177.33,800,17977553,2023-05-30T14:36:28Z
AAPL,,,1100,177.32,600,17982492,2023-05-30T14:36:29Z
AAPL,177.335,,700,177.33,200,17983791,2023-05-30T14:36:30Z
AAPL,177.3365,,800,,,17984978,
AAPL,177.355,177.36,500,177.35,500,17990879,2023-05-30T14:36:31Z
AAPL,177.35,177.34,200,177.33,300,17992756,2023-05-30T14:36:32Z
AAPL,177.3354,,1200,,100,17994203,2023-05-30T14:36:33Z
AAPL,177.32,177.33,400,177.32,,17995826,2023-05-30T14:36:34Z
AAPL,,,1500,,,17997120,2023-05-30T14:36:35Z
