Symbol,Last,Ask,AskSize,Bid,BidSize,Volume,TradeTime
TSLA,199.32,199.34,,199.32,100,108403216,2023-05-31T18:52:41Z
TSLA,199.302,199.32,100,199.3,200,108404718,2023-05-31T18:52:42Z
TSLA,199.3225,199.34,,199.31,100,108404950,2023-05-31T18:52:43Z
TSLA,199.3421,,,,,108406427,2023-05-31T18:52:44Z
TSLA,199.3151,199.35,200,199.32,,108406906,2023-05-31T18:52:45Z
TSLA,199.3499,,100,199.33,200,108411570,2023-05-31T18:52:46Z
TSLA,199.34,,,,,108412822,
TSLA,199.3549,199.37,,,,108414826,2023-05-31T18:52:48Z
TSLA,199.3373,,,199.35,100,108415045,2023-05-31T18:52:49Z
TSLA,199.3265,199.33,,199.32,,108416875,2023-05-31T18:52:50Z
TSLA,199.3,,,199.3,500,108431435,2023-05-31T18:52:51Z
TSLA,199.34,199.35,,199.33,100,108432799,2023-05-31T18:52:52Z
TSLA,199.3549,199.36,,199.34,200,108435638,2023-05-31T18:52:53Z
TSLA,199.3517,199.38,600,199.36,100,108437003,2023-05-31T18:52:54Z
TSLA,199.37,,,,,108445477,2023-05-31T18:52:55Z
TSLA,199.415,199.42,100,199.4,,108452146,2023-05-31T18:52:56Z
TSLA,199.46,199.49,,199.47,,108459491,2023-05-31T18:52:57Z
TSLA,199.425,199.44,,199.41,300,108472059,2023-05-31T18:52:58Z
TSLA,199.426,,200,,,108473888,2023-05-31T18:52:59Z
TSLA,199.4377,,300,,,108476635,2023-05-31T18:53:00Z
TSLA,199.4204,199.43,,,,108480352,2023-05-31T18:53:01Z
TSLA,199.415,,,199.4,200,108485298,2023-05-31T18:53:02Z
TSLA,199.42,199.42,100,,,108486688,2023-05-31T18:53:03Z
TSLA,199.41,199.44,500,199.41,,108489266,2023-05-31T18:53:04Z
TSLA,199.4485,199.47,200,199.44,100,108491116,2023-05-31T18:53:05Z
TSLA,199.465,199.48,100,199.46,,108493611,2023-05-31T18:53:06Z
TSLA,199.485,199.5,3000,199.47,200,108502955,2023-05-31T18:53:07Z
TSLA,199.4399,199.42,100,199.4,100,108509142,2023-05-31T18:53:08Z
TSLA,199.4,,,199.38,200,108519477,2023-05-31T18:53:09Z
TSLA,199.3801,199.39,,199.37,1000,108528622,2023-05-31T18:53:10Z
TSLA,199.3014,199.32,200,199.3,300,108539989,2023-05-31T18:53:11Z
TSLA,199.3078,199.31,100,199.28,,108544346,2023-05-31T18:53:12Z
TSLA,199.27,199.29,200,199.25,2000,108548245,2023-05-31T18:53:13Z
TSLA,199.235,199.25,,199.23,300,108561915,2023-05-31T18:53:14Z
TSLA,199.265,199.28,,199.25,,108564952,2023-05-31T18:53:15Z
TSLA,199.2787,199.29,100,199.26,,108566053,
TSLA,199.28,199.31,,199.28,,108570076,2023-05-31T18:53:17Z
