,CurTime,Last,Ask,Bid
1004,2023-06-09T16:17:20Z,247.1101,247.16,247.12
1005,2023-06-09T16:17:30Z,247.1799,247.18,247.15
1006,2023-06-09T16:17:40Z,247.2419,247.26,247.24
1007,2023-06-09T16:17:50Z,247.2573,247.28,247.24
1008,2023-06-09T16:18:00Z,247.1501,247.18,247.15
1009,2023-06-09T16:18:10Z,246.88,246.91,246.88
1010,2023-06-09T16:18:20Z,246.8,246.8,246.76
1011,2023-06-09T16:18:30Z,246.905,246.91,246.86
1012,2023-06-09T16:18:40Z,246.7001,246.71,246.67
1013,2023-06-09T16:18:50Z,246.64,246.65,246.61
1014,2023-06-09T16:19:00Z,246.555,246.57,246.54
1015,2023-06-09T16:19:10Z,246.515,246.53,246.5
1016,2023-06-09T16:19:20Z,246.7694,246.78,246.75
1017,2023-06-09T16:19:30Z,246.77,246.79,246.75
1018,2023-06-09T16:19:40Z,246.87,246.9,246.86
1019,2023-06-09T16:19:50Z,246.7445,246.77,246.74
1020,2023-06-09T16:20:00Z,246.705,246.72,246.69
1021,2023-06-09T16:20:10Z,246.6849,246.69,246.64
1022,2023-06-09T16:20:20Z,246.525,246.54,246.5
1023,2023-06-09T16:20:30Z,246.5999,246.6,246.56
1024,2023-06-09T16:20:40Z,246.4748,246.48,246.44
1025,2023-06-09T16:20:50Z,246.1651,246.18,246.14
1026,2023-06-09T16:21:00Z,246.4255,246.44,246.39
1027,2023-06-09T16:21:10Z,246.505,246.52,246.49
1028,2023-06-09T16:21:20Z,246.08,246.11,246.08
1029,2023-06-09T16:21:30Z,246.22,246.24,246.21
1030,2023-06-09T16:21:40Z,246.1338,246.15,246.12
1031,2023-06-09T16:21:50Z,246.0499,246.05,246.03
1032,2023-06-09T16:22:00Z,246.07,246.09,246.07
1033,2023-06-09T16:22:10Z,245.755,245.78,245.73
1034,2023-06-09T16:22:20Z,245.685,245.71,245.66
1035,2023-06-09T16:22:30Z,245.78,245.8,245.77
1036,2023-06-09T16:22:40Z,245.755,245.77,245.74
1037,2023-06-09T16:22:50Z,245.53,245.56,245.54
1038,2023-06-09T16:23:00Z,245.3727,245.39,245.36
1039,2023-06-09T16:23:10Z,245.43,245.46,245.43
1040,2023-06-09T16:23:20Z,245.34,245.36,245.34
1041,2023-06-09T16:23:30Z,245.58,245.59,245.55
1042,2023-06-09T16:23:40Z,245.58,245.58,245.56
1043,2023-06-09T16:23:50Z,245.425,245.44,245.41
1044,2023-06-09T16:24:00Z,245.2219,245.24,245.22
1045,2023-06-09T16:24:10Z,245.35,245.35,245.31
1046,2023-06-09T16:24:20Z,245.4782,245.49,245.47
1047,2023-06-09T16:24:30Z,245.65,245.67,245.64
1048,2023-06-09T16:24:40Z,245.64,245.64,245.61
1049,2023-06-09T16:24:50Z,245.58,245.61,245.59
1050,2023-06-09T16:25:00Z,245.5599,245.57,245.55
1051,2023-06-09T16:25:10Z,245.3484,245.35,245.33
1052,2023-06-09T16:25:20Z,245.28,245.29,245.26
1053,2023-06-09T16:25:30Z,245.16,245.18,245.14
1054,2023-06-09T16:25:40Z,245.229,245.23,245.21
1055,2023-06-09T16:25:50Z,245.0,245.01,245.0
1056,2023-06-09T16:26:00Z,244.37,244.4,244.35
1057,2023-06-09T16:26:10Z,244.1685,244.17,244.15
1058,2023-06-09T16:26:20Z,244.0008,244.03,244.0
1059,2023-06-09T16:26:30Z,243.889,243.89,243.86
1060,2023-06-09T16:26:40Z,243.94,243.94,243.92
1061,2023-06-09T16:26:50Z,244.1016,244.12,244.09
1062,2023-06-09T16:27:00Z,244.1,244.12,244.09
1063,2023-06-09T16:27:10Z,243.8058,243.83,243.8
1064,2023-06-09T16:27:20Z,243.28,243.28,243.25
1065,2023-06-09T16:27:30Z,242.9453,242.95,242.92
1066,2023-06-09T16:27:40Z,242.8501,242.87,242.85
1067,2023-06-09T16:27:50Z,243.2299,243.23,243.21
1068,2023-06-09T16:28:00Z,243.225,243.24,243.21
1069,2023-06-09T16:28:10Z,243.495,243.51,243.48
1070,2023-06-09T16:28:20Z,243.5,243.53,243.5
1071,2023-06-09T16:28:30Z,243.72,243.73,243.7
1072,2023-06-09T16:28:40Z,243.9334,243.94,243.91
1073,2023-06-09T16:28:50Z,244.0606,244.07,244.04
1074,2023-06-09T16:29:00Z,244.02,244.03,244.01
1075,2023-06-09T16:29:10Z,243.71,243.75,243.72
1076,2023-06-09T16:29:20Z,243.755,243.77,243.74
1077,2023-06-09T16:29:30Z,243.9699,243.97,243.95
1078,2023-06-09T16:29:40Z,244.19,244.23,244.19
