{'Time': '2023-07-31T13:55:20Z', 'BUY': 132.84, 'SELL': 132.82}
{'Time': '2023-07-31T13:55:30Z', 'SELL': 132.82, 'BUY': 132.84}
{'Time': '2023-07-31T13:55:40Z', 'SELL': 132.87, 'BUY': 132.88}
{'Time': '2023-07-31T13:55:50Z', 'SELL': 132.86, 'BUY': 132.88}
{'Time': '2023-07-31T13:56:00Z', 'BUY': 132.67, 'SELL': 132.65}
{'Time': '2023-07-31T13:56:10Z', 'BUY': 132.77, 'SELL': 132.75}
{'Time': '2023-07-31T13:56:20Z', 'BUY': 132.81, 'SELL': 132.79}
{'Time': '2023-07-31T13:56:30Z', 'SELL': 132.75, 'BUY': 132.76}
{'Time': '2023-07-31T13:56:40Z', 'SELL': 132.64, 'BUY': 132.65}
{'Time': '2023-07-31T13:56:50Z', 'SELL': 132.73, 'BUY': 132.75}
{'Time': '2023-07-31T13:57:00Z', 'BUY': 132.62, 'SELL': 132.59}
{'Time': '2023-07-31T13:57:10Z', 'SELL': 132.59, 'BUY': 132.59}
{'Time': '2023-07-31T13:57:20Z', 'SELL': 132.61, 'BUY': 132.63}
{'Time': '2023-07-31T13:57:30Z', 'BUY': 132.6, 'SELL': 132.59}
{'Time': '2023-07-31T13:57:40Z', 'SELL': 132.54, 'BUY': 132.55}
{'Time': '2023-07-31T13:57:50Z', 'SELL': 132.53, 'BUY': 132.55}
{'Time': '2023-07-31T13:58:00Z', 'BUY': 132.59, 'SELL': 132.57}
{'Time': '2023-07-31T13:58:10Z', 'BUY': 132.64, 'SELL': 132.63}
{'Time': '2023-07-31T13:58:20Z', 'SELL': 132.64, 'BUY': 132.65}
{'Time': '2023-07-31T13:58:30Z', 'SELL': 132.66, 'BUY': 132.67}
{'Time': '2023-07-31T13:58:40Z', 'SELL': 132.68, 'BUY': 132.71}
{'Time': '2023-07-31T13:58:50Z', 'SELL': 132.68, 'BUY': 132.7}
{'Time': '2023-07-31T13:59:00Z', 'SELL': 132.55, 'BUY': 132.55}
{'Time': '2023-07-31T13:59:10Z'}
{'Time': '2023-07-31T13:59:20Z', 'BUY': 132.64, 'SELL': 132.62}
{'Time': '2023-07-31T13:59:30Z', 'SELL': 132.61}
{'Time': '2023-07-31T13:59:40Z', 'BUY': 132.63}
{'Time': '2023-07-31T13:59:50Z', 'BUY': 132.71, 'SELL': 132.7}
{'Time': '2023-07-31T14:00:00Z', 'BUY': 132.7, 'SELL': 132.68}
{'Time': '2023-07-31T14:00:10Z', 'BUY': 132.72, 'SELL': 132.7}
{'Time': '2023-07-31T14:00:20Z', 'SELL': 132.6, 'BUY': 132.61}
{'Time': '2023-07-31T14:00:30Z', 'BUY': 132.61, 'SELL': 132.6}
{'Time': '2023-07-31T14:00:40Z', 'SELL': 132.57, 'BUY': 132.59}
{'Time': '2023-07-31T14:00:50Z', 'BUY': 132.57, 'SELL': 132.56}
{'Time': '2023-07-31T14:01:00Z', 'SELL': 132.58, 'BUY': 132.59}
{'Time': '2023-07-31T14:01:10Z', 'BUY': 132.61, 'SELL': 132.6}
{'Time': '2023-07-31T14:01:20Z', 'SELL': 132.58, 'BUY': 132.58}
{'Time': '2023-07-31T14:01:30Z', 'SELL': 132.52, 'BUY': 132.53}
{'Time': '2023-07-31T14:01:40Z', 'BUY': 132.59, 'SELL': 132.57}
{'Time': '2023-07-31T14:01:50Z', 'SELL': 132.61, 'BUY': 132.62}
{'Time': '2023-07-31T14:02:00Z', 'BUY': 132.56, 'SELL': 132.55}
{'Time': '2023-07-31T14:02:10Z', 'BUY': 132.59, 'SELL': 132.57}
{'Time': '2023-07-31T14:02:20Z', 'BUY': 132.56, 'SELL': 132.55}
{'Time': '2023-07-31T14:02:30Z', 'BUY': 132.51, 'SELL': 132.49}
{'Time': '2023-07-31T14:02:40Z', 'BUY': 132.53, 'SELL': 132.52}
{'Time': '2023-07-31T14:02:50Z', 'SELL': 132.55, 'BUY': 132.57}
{'Time': '2023-07-31T14:03:00Z', 'SELL': 132.57, 'BUY': 132.58}
{'Time': '2023-07-31T14:03:10Z', 'SELL': 132.5, 'BUY': 132.52}
{'Time': '2023-07-31T14:03:20Z', 'SELL': 132.5, 'BUY': 132.51}
