Symbol,Open,High,Low,Last,Ask,AskSize,Bid,BidSize,Volume,TradeTime
MSFT,332.29001,335.94,330.34,330.85,330.87,300,330.84,100,10316361,2023-05-31T15:13:26Z
MSFT,332.29001,335.94,330.34,330.87,330.9,100,330.87,100,10321066,2023-05-31T15:13:35Z
MSFT,332.29001,335.94,330.34,330.81,330.81,100,330.78,100,10331860,2023-05-31T15:13:46Z
MSFT,332.29001,335.94,330.34,330.68,330.69,100,330.65,100,10338190,2023-05-31T15:13:56Z
MSFT,332.29001,335.94,330.34,330.64,330.67,100,330.63,400,10348567,2023-05-31T15:14:06Z
MSFT,332.29001,335.94,330.34,330.51,330.54,100,330.51,100,10363828,2023-05-31T15:14:15Z
MSFT,332.29001,335.94,330.34,330.51,330.55,100,330.51,100,10371348,2023-05-31T15:14:26Z
MSFT,332.29001,335.94,330.34,330.54,330.56,100,330.53,200,10378932,2023-05-31T15:14:36Z
MSFT,332.29001,335.94,330.34,330.5,330.53,100,330.5,600,10380572,2023-05-31T15:14:46Z
MSFT,332.29001,335.94,330.34,330.51,330.55,100,330.53,300,10385055,2023-05-31T15:14:55Z
MSFT,332.29001,335.94,330.34,330.69,330.72,100,330.69,500,10390293,2023-05-31T15:15:06Z
MSFT,332.29001,335.94,330.34,330.72,330.75,100,330.73,100,10401566,2023-05-31T15:15:16Z
MSFT,332.29001,335.94,330.34,330.75,330.8,100,330.77,100,10409425,2023-05-31T15:15:25Z
MSFT,332.29001,335.94,330.34,330.79,330.82,200,330.79,100,10417320,2023-05-31T15:15:36Z
MSFT,332.29001,335.94,330.34,330.65,330.67,100,330.64,100,10423725,2023-05-31T15:15:46Z
MSFT,332.29001,335.94,330.34,330.565,330.59,100,330.55,100,10427650,2023-05-31T15:15:54Z
MSFT,332.29001,335.94,330.34,330.53,330.55,100,330.53,100,10436805,2023-05-31T15:16:06Z
MSFT,332.29001,335.94,330.34,330.59,330.61,100,330.58,100,10446832,2023-05-31T15:16:16Z
MSFT,332.29001,335.94,330.34,330.5,330.5,200,330.48,200,10457894,2023-05-31T15:16:26Z
MSFT,332.29001,335.94,330.34,330.34,330.38,200,330.35,100,10466575,2023-05-31T15:16:36Z
MSFT,332.29001,335.94,330.20999,330.22,330.23,100,330.2,100,10491971,2023-05-31T15:16:46Z
MSFT,332.29001,335.94,330.14999,330.2,330.22,300,330.2,100,10510075,2023-05-31T15:16:56Z
MSFT,332.29001,335.94,330.14999,330.2,330.22,100,330.2,400,10518801,2023-05-31T15:17:06Z
MSFT,332.29001,335.94,330.14999,330.2,330.21,100,330.17,100,10529157,2023-05-31T15:17:16Z
MSFT,332.29001,335.94,330.09,330.1499,330.15,100,330.12,100,10537869,2023-05-31T15:17:26Z
MSFT,332.29001,335.94,330.04999,330.08,330.09,100,330.07,100,10549756,2023-05-31T15:17:36Z
MSFT,332.29001,335.94,330.01999,330.05,330.08,100,330.05,200,10563765,2023-05-31T15:17:46Z
MSFT,332.29001,335.94,330.01001,330.03,330.04,200,330.01,200,10570481,2023-05-31T15:17:56Z
MSFT,332.29001,335.94,329.98999,330.06,330.07,300,330.06,600,10637811,2023-05-31T15:18:06Z
MSFT,332.29001,335.94,329.82999,329.83,329.88,100,329.86,100,10667196,2023-05-31T15:18:15Z
