High,Low,Open,Close,TimeStamp,TotalVolume,DownTicks,DownVolume,OpenInterest,IsRealtime,IsEndOfHistory,TotalTicks,UnchangedTicks,UnchangedVolume,UpTicks,UpVolume,Epoch,BarStatus
12.26,12.23,12.24,12.24,2016-12-06T16:30:00Z,176640,25,100995,0,False,False,53,0,0,28,75645,1481041800000,Closed
12.25,12.24,12.24,12.25,2016-12-06T16:31:00Z,45315,4,18225,0,False,False,14,0,0,10,27090,1481041860000,Closed
12.25,12.24,12.24,12.25,2016-12-06T16:32:00Z,76920,10,28500,0,False,False,19,0,0,9,48420,1481041920000,Closed
12.25,12.24,12.25,12.25,2016-12-06T16:33:00Z,24000,11,16500,0,False,False,16,0,0,5,7500,1481041980000,Closed
12.25,12.24,12.25,12.24,2016-12-06T16:34:00Z,91560,25,53310,0,False,False,41,0,0,16,38250,1481042040000,Closed
12.24,12.22,12.24,12.22,2016-12-06T16:35:00Z,225840,49,161715,0,False,False,73,0,0,24,64125,1481042100000,Closed
12.23,12.22,12.22,12.23,2016-12-06T16:36:00Z,80250,7,17250,0,False,False,18,0,0,11,63000,1481042160000,Closed
12.23,12.22,12.23,12.22,2016-12-06T16:37:00Z,136440,26,54690,0,False,False,49,0,0,23,81750,1481042220000,Closed
12.24,12.22,12.22,12.24,2016-12-06T16:38:00Z,103170,13,26700,0,False,False,35,0,0,22,76470,1481042280000,Closed
12.24,12.23,12.24,12.23,2016-12-06T16:39:00Z,34590,9,24090,0,False,False,14,0,0,5,10500,1481042340000,Closed
12.27,12.23,12.23,12.26,2016-12-06T16:40:00Z,228510,26,108000,0,False,False,74,0,0,48,120510,1481042400000,Closed
12.25,12.25,12.25,12.25,2016-12-06T16:41:00Z,21000,10,15000,0,False,False,14,0,0,4,6000,1481042460000,Closed
12.26,12.25,12.25,12.26,2016-12-06T16:42:00Z,33000,4,12000,0,False,False,18,0,0,14,21000,1481042520000,Closed
12.28,12.26,12.26,12.26,2016-12-06T16:43:00Z,150960,26,77700,0,False,False,54,0,0,28,73260,1481042580000,Closed
12.26,12.25,12.26,12.25,2016-12-06T16:44:00Z,70500,21,44775,0,False,False,32,0,0,11,25725,1481042640000,Closed
12.26,12.25,12.25,12.25,2016-12-06T16:45:00Z,78600,24,50655,0,False,False,38,0,0,14,27945,1481042700000,Closed
12.26,12.25,12.26,12.25,2016-12-06T16:46:00Z,73230,10,22725,0,False,False,25,0,0,15,50505,1481042760000,Closed
12.25,12.23,12.25,12.23,2016-12-06T16:47:00Z,83565,19,66690,0,False,False,25,0,0,6,16875,1481042820000,Closed
12.24,12.23,12.24,12.24,2016-12-06T16:48:00Z,59625,10,20625,0,False,False,17,0,0,7,39000,1481042880000,Closed
12.24,12.24,12.24,12.24,2016-12-06T16:49:00Z,104250,10,78750,0,False,False,22,0,0,12,25500,1481042940000,Closed
12.25,12.24,12.25,12.24,2016-12-06T16:50:00Z,67500,9,15000,0,False,False,32,0,0,23,52500,1481043000000,Closed
12.26,12.24,12.24,12.26,2016-12-06T16:51:00Z,29250,4,7500,0,False,False,16,0,0,12,21750,1481043060000,Closed
12.26,12.25,12.26,12.26,2016-12-06T16:52:00Z,142500,12,31500,0,False,False,21,0,0,9,111000,1481043120000,Closed
12.28,12.26,12.26,12.27,2016-12-06T16:53:00Z,79320,4,13725,0,False,False,16,0,0,12,65595,1481043180000,Closed
12.28,12.26,12.27,12.27,2016-12-06T16:54:00Z,67335,10,29805,0,False,False,26,0,0,16,37530,1481043240000,Closed
12.28,12.27,12.28,12.27,2016-12-06T16:55:00Z,111750,24,80250,0,False,False,42,0,0,18,31500,1481043300000,Closed
12.27,12.27,12.27,12.27,2016-12-06T16:56:00Z,42975,9,16500,0,False,False,18,0,0,9,26475,1481043360000,Closed
12.27,12.27,12.27,12.27,2016-12-06T16:57:00Z,24000,7,13500,0,False,False,14,0,0,7,10500,1481043420000,Closed
12.27,12.26,12.27,12.26,2016-12-06T16:58:00Z,106530,22,53130,0,False,False,39,0,0,17,53400,1481043480000,Closed
12.26,12.24,12.26,12.25,2016-12-06T16:59:00Z,105000,20,72000,0,False,False,28,0,0,8,33000,1481043540000,Closed
12.25,12.24,12.25,12.25,2016-12-06T17:00:00Z,90000,5,36000,0,False,False,12,0,0,7,54000,1481043600000,Closed
12.26,12.25,12.25,12.25,2016-12-06T17:01:00Z,43500,6,9000,0,False,False,18,0,0,12,34500,1481043660000,Closed
12.25,12.25,12.25,12.25,2016-12-06T17:02:00Z,53220,9,39240,0,False,False,15,0,0,6,13980,1481043720000,Closed
12.26,12.25,12.25,12.26,2016-12-06T17:03:00Z,42165,8,12165,0,False,False,21,0,0,13,30000,1481043780000,Closed
12.26,12.26,12.26,12.26,2016-12-06T17:04:00Z,55920,12,18360,0,False,False,27,0,0,15,37560,1481043840000,Closed
12.27,12.26,12.27,12.26,2016-12-06T17:05:00Z,10500,3,4500,0,False,False,7,0,0,4,6000,1481043900000,Closed
12.26,12.26,12.26,12.26,2016-12-06T17:06:00Z,74025,3,42525,0,False,False,7,0,0,4,31500,1481043960000,Closed
12.26,12.25,12.26,12.25,2016-12-06T17:07:00Z,133500,15,67500,0,False,False,21,0,0,6,66000,1481044020000,Closed
12.26,12.25,12.25,12.26,2016-12-06T17:08:00Z,16650,3,4500,0,False,False,7,0,0,4,12150,1481044080000,Closed
12.25,12.25,12.25,12.25,2016-12-06T17:09:00Z,31650,6,9750,0,False,False,10,0,0,4,21900,1481044140000,Closed
12.25,12.23,12.25,12.23,2016-12-06T17:10:00Z,315450,49,136530,0,False,False,74,0,0,25,178920,1481044200000,Closed
12.24,12.21,12.24,12.22,2016-12-06T17:11:00Z,249225,49,197475,0,False,False,64,0,0,15,51750,1481044260000,Closed
12.22,12.21,12.21,12.22,2016-12-06T17:12:00Z,91800,10,52800,0,False,False,18,0,0,8,39000,1481044320000,Closed
12.23,12.22,12.22,12.23,2016-12-06T17:13:00Z,73260,14,23970,0,False,False,39,0,0,25,49290,1481044380000,Closed
12.23,12.23,12.23,12.23,2016-12-06T17:14:00Z,28710,4,11460,0,False,False,8,0,0,4,17250,1481044440000,Closed
