,_id_x,CurTime,GetTime_x,Symbol,TradeTime,Last,Ask,AskSize,Bid,BidSize,Volume,VWAP,Open,High,Low,PreviousClose,PreviousVolume,NetChange,NetChangePct,_id_y,GetTime_y,EarliestTime,LatestTime,Side,Price,TotalSize,BiggestSize,SmallestSize,NumParticipants,TotalOrderCount,Dif
36213,6480c17c323df6bf8bfadf1c,2023-06-07T17:42:20Z,2023-06-07T17:42:19Z,TSLA,2023-06-07T17:42:19Z,224.49,224.5,200.0,224.48,200.0,135092984.0,227.118464917678,228.0,230.82961,223.2,221.31,146911576.0,3.18,0.0144,6480c17c323df6bf8bfadf7f,2023-06-07T17:42:20Z,2023-06-07T17:42:19Z,2023-06-07T17:42:20Z,Ask,224.47,-400.0,300.0,100.0,2.0,2.0,0.020000000000010232
36214,6480c17c323df6bf8bfadf1c,2023-06-07T17:42:20Z,2023-06-07T17:42:19Z,TSLA,2023-06-07T17:42:19Z,224.49,224.5,200.0,224.48,200.0,135092984.0,227.118464917678,228.0,230.82961,223.2,221.31,146911576.0,3.18,0.0144,6480c17c323df6bf8bfadf86,2023-06-07T17:42:20Z,2023-06-07T17:42:20Z,2023-06-07T17:42:20Z,Ask,224.48,-800.0,400.0,100.0,3.0,3.0,0.010000000000019327
36239,6480c186323df6bf8bfadfe4,2023-06-07T17:42:30Z,2023-06-07T17:42:29Z,TSLA,2023-06-07T17:42:29Z,224.5499,224.55,200.0,224.52,100.0,135115840.0,227.117983004725,228.0,230.82961,223.2,221.31,146911576.0,3.2399,0.0146,6480c186323df6bf8bfae05e,2023-06-07T17:42:30Z,2023-06-07T17:42:29Z,2023-06-07T17:42:29Z,Ask,224.54,-20.0,20.0,20.0,1.0,1.0,0.009900000000016007
36315,6480c1a4323df6bf8bfae24a,2023-06-07T17:43:00Z,2023-06-07T17:42:59Z,TSLA,2023-06-07T17:42:59Z,224.6899,224.69,600.0,224.66,100.0,135172665.0,227.11687356942,228.0,230.82961,223.2,221.31,146911576.0,3.3799,0.0153,6480c1a4323df6bf8bfae2c8,2023-06-07T17:43:00Z,2023-06-07T17:43:00Z,2023-06-07T17:43:00Z,Ask,224.67,-401.0,101.0,100.0,4.0,6.0,0.019900000000006912
36324,6480c1ae323df6bf8bfae318,2023-06-07T17:43:10Z,2023-06-07T17:43:09Z,TSLA,2023-06-07T17:43:09Z,224.7716,224.81,100.0,224.78,100.0,135251756.0,227.115320534431,228.0,230.82961,223.2,221.31,146911576.0,3.4616,0.0156,6480c1ae323df6bf8bfae312,2023-06-07T17:43:09Z,2023-06-07T17:43:09Z,2023-06-07T17:43:09Z,Bid,224.78,162.0,100.0,62.0,2.0,3.0,0.008399999999994634
36548,6480c208323df6bf8bfaea25,2023-06-07T17:44:40Z,2023-06-07T17:44:39Z,TSLA,2023-06-07T17:44:39Z,224.68,224.71,100.0,224.68,100.0,135580171.0,227.109337432247,228.0,230.82961,223.2,221.31,146911576.0,3.37,0.0152,6480c208323df6bf8bfaea1f,2023-06-07T17:44:39Z,2023-06-07T17:44:39Z,2023-06-07T17:44:39Z,Bid,224.71,411.0,111.0,100.0,4.0,6.0,0.030000000000001137
36549,6480c208323df6bf8bfaea25,2023-06-07T17:44:40Z,2023-06-07T17:44:39Z,TSLA,2023-06-07T17:44:39Z,224.68,224.71,100.0,224.68,100.0,135580171.0,227.109337432247,228.0,230.82961,223.2,221.31,146911576.0,3.37,0.0152,6480c208323df6bf8bfaea2e,2023-06-07T17:44:39Z,2023-06-07T17:44:39Z,2023-06-07T17:44:39Z,Bid,224.69,100.0,100.0,100.0,1.0,1.0,0.009999999999990905
36582,6480c212323df6bf8bfaeaf0,2023-06-07T17:44:50Z,2023-06-07T17:44:49Z,TSLA,2023-06-07T17:44:49Z,224.7191,224.72,200.0,224.7,200.0,135594911.0,227.109073566409,228.0,230.82961,223.2,221.31,146911576.0,3.4091,0.0154,6480c212323df6bf8bfaeb5c,2023-06-07T17:44:49Z,2023-06-07T17:44:49Z,2023-06-07T17:44:49Z,Ask,224.7,-577.0,300.0,77.0,3.0,5.0,0.019100000000008777
36583,6480c212323df6bf8bfaeaf0,2023-06-07T17:44:50Z,2023-06-07T17:44:49Z,TSLA,2023-06-07T17:44:49Z,224.7191,224.72,200.0,224.7,200.0,135594911.0,227.109073566409,228.0,230.82961,223.2,221.31,146911576.0,3.4091,0.0154,6480c212323df6bf8bfaeb66,2023-06-07T17:44:49Z,2023-06-07T17:44:49Z,2023-06-07T17:44:49Z,Ask,224.71,-300.0,300.0,300.0,1.0,1.0,0.00909999999998945
36655,6480c230323df6bf8bfaed48,2023-06-07T17:45:20Z,2023-06-07T17:45:19Z,TSLA,2023-06-07T17:45:18Z,224.74,224.75,500.0,224.73,100.0,135701982.0,227.107080591381,228.0,230.82961,223.2,221.31,146911576.0,3.43,0.0155,6480c230323df6bf8bfaedbb,2023-06-07T17:45:19Z,2023-06-07T17:45:19Z,2023-06-07T17:45:19Z,Ask,224.73,-195.0,195.0,195.0,1.0,3.0,0.010000000000019327
