Symbol,Last,Ask,AskSize,Bid,BidSize,Volume,TradeTime
GOOGL,122.91,,200,,300,21797740,2023-05-31T19:58:56Z
GOOGL,122.93,122.93,,122.91,500,21811059,2023-05-31T19:58:57Z
GOOGL,122.91,122.92,100,,,21818399,2023-05-31T19:58:58Z
GOOGL,122.92,,1600,,,21820622,2023-05-31T19:58:59Z
GOOGL,122.95,122.96,10800,122.94,400,21844071,2023-05-31T19:59:00Z
GOOGL,122.92,122.93,200,122.92,300,21852394,2023-05-31T19:59:01Z
GOOGL,122.905,122.91,1000,122.9,400,21861402,2023-05-31T19:59:02Z
GOOGL,122.9,122.92,800,122.91,500,21867316,2023-05-31T19:59:03Z
GOOGL,,122.91,100,122.9,600,21874689,2023-05-31T19:59:04Z
GOOGL,122.91,,1700,,900,21886520,2023-05-31T19:59:05Z
GOOGL,,,3900,,400,21890848,2023-05-31T19:59:06Z
GOOGL,122.89,122.89,500,122.88,1200,21902294,2023-05-31T19:59:07Z
GOOGL,122.9,122.9,200,122.89,400,21911514,2023-05-31T19:59:08Z
GOOGL,122.87,122.87,100,122.86,600,21919453,2023-05-31T19:59:09Z
GOOGL,122.89,122.9,400,122.88,500,21927329,2023-05-31T19:59:10Z
GOOGL,122.87,122.89,300,122.87,300,21936651,2023-05-31T19:59:11Z
GOOGL,122.9,,,,,21947441,2023-05-31T19:59:12Z
GOOGL,122.89,,400,122.88,200,21948152,2023-05-31T19:59:13Z
GOOGL,122.8866,122.88,200,122.87,300,21954044,2023-05-31T19:59:14Z
GOOGL,122.86,122.87,,122.86,100,21971060,2023-05-31T19:59:15Z
GOOGL,122.85,122.86,,122.85,,21983027,2023-05-31T19:59:16Z
GOOGL,122.88,122.9,1300,122.88,600,21993908,2023-05-31T19:59:17Z
GOOGL,122.87,122.89,400,122.87,200,21999581,2023-05-31T19:59:18Z
GOOGL,,122.88,300,122.86,100,22014531,2023-05-31T19:59:19Z
GOOGL,,122.87,100,,1700,22018746,2023-05-31T19:59:20Z
GOOGL,,,2000,,900,22029427,2023-05-31T19:59:21Z
GOOGL,122.93,122.94,14600,122.93,100,22046691,2023-05-31T19:59:22Z
GOOGL,122.92,122.92,200,122.91,300,22077601,2023-05-31T19:59:23Z
GOOGL,122.9,122.91,700,122.9,400,22081014,2023-05-31T19:59:24Z
GOOGL,122.89,122.89,200,122.88,200,22084332,2023-05-31T19:59:25Z
GOOGL,122.88,,700,122.87,,22092400,2023-05-31T19:59:26Z
GOOGL,122.87,122.88,300,122.86,1500,22105533,2023-05-31T19:59:27Z
GOOGL,122.9,122.9,1000,122.88,400,22138128,2023-05-31T19:59:28Z
GOOGL,122.87,122.88,100,122.87,1600,22142942,2023-05-31T19:59:29Z
GOOGL,122.85,122.86,,122.85,200,22156663,2023-05-31T19:59:30Z
GOOGL,122.88,122.89,500,122.87,500,22164272,2023-05-31T19:59:31Z
GOOGL,,122.88,100,,200,22182705,2023-05-31T19:59:32Z
GOOGL,122.9,122.9,8700,122.89,300,22198362,2023-05-31T19:59:33Z
GOOGL,122.91,122.92,400,122.9,200,22219808,2023-05-31T19:59:34Z
