Symbol,Last,Ask,AskSize,Bid,BidSize,Volume,TradeTime
MSFT,332.1,,200,332.09,100,9563072,2023-05-30T14:32:42Z
MSFT,332.102,332.14,500,332.11,,9565006,2023-05-30T14:32:43Z
MSFT,332.12,332.12,100,332.1,,9565633,2023-05-30T14:32:44Z
MSFT,,332.13,,,200,9565708,
MSFT,332.125,332.14,500,332.11,100,9565876,2023-05-30T14:32:46Z
MSFT,332.1,332.1,200,332.08,,9567532,2023-05-30T14:32:47Z
MSFT,332.07,332.09,300,332.05,200,9570059,2023-05-30T14:32:48Z
MSFT,332.09,332.14,200,332.11,,9571668,2023-05-30T14:32:49Z
MSFT,332.14,332.15,100,332.13,100,9572899,2023-05-30T14:32:50Z
MSFT,332.1493,,,,200,9573136,2023-05-30T14:32:51Z
MSFT,332.14,,,,,9573670,2023-05-30T14:32:52Z
MSFT,332.185,332.2,200,332.17,100,9574724,2023-05-30T14:32:53Z
MSFT,332.19,,,332.18,200,9574960,2023-05-30T14:32:54Z
MSFT,332.2,332.22,,332.19,,9576523,2023-05-30T14:32:55Z
MSFT,332.19,332.23,100,,100,9577383,2023-05-30T14:32:56Z
MSFT,332.195,,,332.21,200,9577751,
MSFT,332.31,332.32,200,332.29,100,9581672,2023-05-30T14:32:58Z
MSFT,332.325,332.33,100,332.32,,9584123,2023-05-30T14:32:59Z
MSFT,332.32,332.31,200,332.28,200,9584778,
MSFT,,,,,,9584851,
MSFT,332.295,332.32,100,,,9585014,2023-05-30T14:33:01Z
MSFT,332.325,332.33,,332.32,100,9585592,2023-05-30T14:33:03Z
MSFT,332.36,332.39,,332.36,200,9586861,2023-05-30T14:33:04Z
MSFT,,332.37,200,332.34,100,9587422,2023-05-30T14:33:05Z
MSFT,332.359,332.36,100,332.33,,9588459,2023-05-30T14:33:06Z
MSFT,332.3547,,200,,,9588832,2023-05-30T14:33:07Z
MSFT,332.32,332.31,,332.3,,9590220,2023-05-30T14:33:08Z
MSFT,332.285,332.33,100,,200,9590793,2023-05-30T14:33:09Z
MSFT,332.3,332.32,200,,100,9591685,2023-05-30T14:33:10Z
MSFT,,,,332.29,,9591728,
MSFT,332.34,332.35,400,332.32,,9593597,2023-05-30T14:33:12Z
MSFT,332.265,332.29,200,332.25,200,9595417,2023-05-30T14:33:13Z
MSFT,332.245,332.26,,332.23,100,9596886,2023-05-30T14:33:14Z
MSFT,332.2,332.25,,332.21,900,9598508,2023-05-30T14:33:16Z
MSFT,,,100,332.22,800,9598511,
MSFT,332.23,,200,,100,9599815,2023-05-30T14:33:17Z
MSFT,332.25,332.27,100,332.25,300,9600431,2023-05-30T14:33:18Z
MSFT,,,,,,9600457,
MSFT,332.27,,,332.26,100,9600612,2023-05-30T14:33:20Z
MSFT,332.285,332.32,,332.28,200,9600973,2023-05-30T14:33:21Z
MSFT,332.28,,200,332.29,100,9601190,2023-05-30T14:33:22Z
MSFT,,332.35,100,332.33,200,9601311,
MSFT,332.37,332.37,200,332.34,,9601563,2023-05-30T14:33:24Z
MSFT,332.3599,332.35,,332.33,100,9602318,2023-05-30T14:33:25Z
MSFT,332.361,332.37,,332.34,200,9603457,2023-05-30T14:33:26Z
MSFT,332.3878,332.4,,332.37,100,9604523,2023-05-30T14:33:27Z
MSFT,332.33,332.33,,332.29,200,9608015,2023-05-30T14:33:28Z
MSFT,332.2902,332.32,,,,9608737,2023-05-30T14:33:29Z
MSFT,332.32,332.33,,332.3,100,9609067,2023-05-30T14:33:30Z
MSFT,332.3133,332.35,,332.31,300,9609809,
MSFT,332.339,332.34,,,,9610213,2023-05-30T14:33:32Z
MSFT,332.35,332.36,,332.33,100,9614552,2023-05-30T14:33:33Z
MSFT,332.39,332.41,,332.38,900,9615163,2023-05-30T14:33:34Z
MSFT,332.395,,100,332.39,1000,9615804,2023-05-30T14:33:35Z
MSFT,332.39,332.4,200,332.37,100,9616643,
MSFT,332.4,332.41,100,332.39,500,9618265,2023-05-30T14:33:37Z
MSFT,,332.42,,,,9618380,
MSFT,,332.39,200,332.38,100,9619173,2023-05-30T14:33:39Z
MSFT,332.385,332.4,,332.37,600,9622942,2023-05-30T14:33:40Z
MSFT,332.4,332.41,,332.38,100,9623463,2023-05-30T14:33:41Z
MSFT,332.41,332.44,100,332.41,300,9624919,2023-05-30T14:33:42Z
MSFT,332.44,332.45,200,332.42,100,9625189,2023-05-30T14:33:43Z
MSFT,332.46,332.47,100,332.44,200,9626387,2023-05-30T14:33:44Z
MSFT,332.449,332.45,,332.42,500,9628084,2023-05-30T14:33:45Z
MSFT,332.28,332.31,200,332.27,100,9658075,2023-05-30T14:33:46Z
MSFT,332.25,332.25,100,332.22,,9663623,2023-05-30T14:33:48Z
MSFT,332.27,332.28,,332.25,,9664046,2023-05-30T14:33:49Z
MSFT,,,,332.26,,9664987,2023-05-30T14:33:50Z
