Date,Open,High,Low,Close,Volume
2023-05-12 12:31:13.733000-04:00,,,,168.27,2
2023-05-12 12:31:24.862000-04:00,,,,168.2301,20
2023-05-12 12:31:35.327000-04:00,,,,168.25,25
2023-05-12 12:31:45.448000-04:00,,,,168.28,50
2023-05-12 12:31:56.308000-04:00,,,,168.12,100
2023-05-12 12:32:06.682000-04:00,,,,168.31,5
2023-05-12 12:32:17.702000-04:00,,,,168.335,1
2023-05-12 12:32:27.567000-04:00,,,,168.45,4
2023-05-12 12:32:37.282000-04:00,,,,168.52,50
2023-05-12 12:32:47.651000-04:00,,,,168.43,2
2023-05-12 12:32:57.590000-04:00,,,,168.5539,20
2023-05-12 12:33:08.892000-04:00,,,,168.5699,50
2023-05-12 12:33:18.898000-04:00,,,,168.6001,500
2023-05-12 12:33:29.142000-04:00,,,,168.57,1
2023-05-12 12:33:39.090000-04:00,,,,168.68,100
2023-05-12 12:33:48.794000-04:00,,,,168.61,10
2023-05-12 12:33:58.855000-04:00,,,,168.68,3
2023-05-12 12:34:08.882000-04:00,,,,168.6725,100
2023-05-12 12:34:19.682000-04:00,,,,168.6285,5
2023-05-12 12:34:30.759000-04:00,,,,168.67,20
2023-05-12 12:34:40.423000-04:00,,,,168.62,18
2023-05-12 12:34:50.840000-04:00,,,,168.63,35
2023-05-12 12:35:01.643000-04:00,,,,168.78,11
2023-05-12 12:35:11.726000-04:00,,,,168.73,1
2023-05-12 12:35:22.108000-04:00,,,,168.7,400
2023-05-12 12:35:33.027000-04:00,,,,168.68,25
2023-05-12 12:35:43.632000-04:00,,,,168.6101,338
2023-05-12 12:35:54.644000-04:00,,,,168.49,400
2023-05-12 12:36:05.248000-04:00,,,,168.43,650
2023-05-12 12:36:15.240000-04:00,,,,168.314,10
2023-05-12 12:36:25.763000-04:00,,,,168.47,1
2023-05-12 12:36:36.900000-04:00,,,,168.39,2
2023-05-12 12:36:47.506000-04:00,,,,168.3697,9
2023-05-12 12:36:57.786000-04:00,,,,168.3188,1
2023-05-12 12:37:07.960000-04:00,,,,168.23,4
2023-05-12 12:37:18.426000-04:00,,,,168.2885,1
2023-05-12 12:37:28.200000-04:00,,,,168.23,100
2023-05-12 12:37:37.809000-04:00,,,,168.24,100
2023-05-12 12:37:48.677000-04:00,,,,168.09,33
2023-05-12 12:37:58.901000-04:00,,,,168.0006,400
2023-05-12 12:38:09.072000-04:00,,,,168.18,10
2023-05-12 12:38:18.830000-04:00,,,,168.2,4
2023-05-12 12:38:28.894000-04:00,,,,168.2515,2
2023-05-12 12:38:39.383000-04:00,,,,168.12,10
2023-05-12 12:38:50.623000-04:00,,,,168.04,1
2023-05-12 12:39:02.031000-04:00,,,,168.07,29
2023-05-12 12:39:12.250000-04:00,,,,168.1522,5
2023-05-12 12:39:22.030000-04:00,,,,168.19,10
2023-05-12 12:39:32.181000-04:00,,,,168.19,1
2023-05-12 12:39:42.028000-04:00,,,,168.1686,50
2023-05-12 12:39:53.176000-04:00,,,,168.1699,550
2023-05-12 12:40:03.005000-04:00,,,,168.22,3
2023-05-12 12:40:13.095000-04:00,,,,168.1995,50
2023-05-12 12:40:23.144000-04:00,,,,168.3,346
2023-05-12 12:40:33.031000-04:00,,,,168.2337,2
2023-05-12 12:40:43.830000-04:00,,,,168.22,1300
2023-05-12 12:40:54.142000-04:00,,,,168.15,98
2023-05-12 12:41:05.717000-04:00,,,,168.1202,200
2023-05-12 12:41:15.967000-04:00,,,,168.0601,5
2023-05-12 12:41:27.252000-04:00,,,,168.12,22
2023-05-12 12:41:36.826000-04:00,,,,168.08,1
2023-05-12 12:41:47.257000-04:00,,,,168.1,2
2023-05-12 12:41:57.025000-04:00,,,,168.22,1000
2023-05-12 12:42:07.517000-04:00,,,,168.08,1
